No,Root,Jenis
1,smw,Mu'tal
2,Alh,Mu'tal
3,rHm,Shahih
4,Hmd,Shahih
5,rbb,Shahih
6,Elm,Shahih
7,mlk,Shahih
8,ywm,Mu'tal
9,dyn,Mu'tal
10,Ebd,Shahih
11,Ewn,Mu'tal
12,hdy,Mu'tal
13,SrT,Shahih
14,qwm,Mu'tal
15,nEm,Shahih
16,gyr,Mu'tal
17,gDb,Shahih
18,Dll,Shahih
19,ktb,Shahih
20,ryb,Mu'tal
21,wqy,Mu'tal
22,Amn,Mu'tal
23,gyb,Mu'tal
24,Slw,Mu'tal
25,rzq,Shahih
26,nfq,Shahih
27,nzl,Shahih
28,qbl,Shahih
29,Axr,Mu'tal
30,yqn,Mu'tal
31,flH,Shahih
32,kfr,Shahih
33,swy,Mu'tal
34,n*r,Shahih
35,xtm,Shahih
36,qlb,Shahih
37,smE,Shahih
38,bSr,Shahih
39,g$w,Mu'tal
40,E*b,Shahih
41,EZm,Shahih
42,nws,Mu'tal
43,qwl,Mu'tal
44,xdE,Shahih
45,nfs,Shahih
46,$Er,Shahih
47,mrD,Shahih
48,zyd,Mu'tal
49,Alm,Mu'tal
50,kwn,Mu'tal
51,k*b,Shahih
52,fsd,Shahih
53,ArD,Mu'tal
54,SlH,Shahih
55,sfh,Shahih
56,lqy,Mu'tal
57,xlw,Mu'tal
58,$Tn,Shahih
59,hzA,Mu'tal
60,mdd,Shahih
61,Tgy,Mu'tal
62,Emh,Shahih
63,$ry,Mu'tal
64,rbH,Shahih
65,tjr,Shahih
66,mvl,Shahih
67,wqd,Mu'tal
68,nwr,Mu'tal
69,DwA,Mu'tal
70,Hwl,Mu'tal
71,*hb,Shahih
72,trk,Shahih
73,Zlm,Shahih
74,Smm,Shahih
75,bkm,Shahih
76,Emy,Mu'tal
77,rjE,Shahih
78,Swb,Mu'tal
79,rEd,Shahih
80,brq,Shahih
81,jEl,Shahih
82,SbE,Shahih
83,A*n,Mu'tal
84,SEq,Shahih
85,H*r,Shahih
86,mwt,Mu'tal
87,HwT,Mu'tal
88,kwd,Mu'tal
89,xTf,Shahih
90,kll,Shahih
91,m$y,Mu'tal
92,$yA,Mu'tal
93,qdr,Shahih
94,xlq,Shahih
95,fr$,Shahih
96,bny,Mu'tal
97,mwh,Mu'tal
98,xrj,Shahih
99,vmr,Shahih
100,ndd,Shahih
101,Aty,Mu'tal
102,swr,Mu'tal
103,dEw,Mu'tal
104,$hd,Shahih
105,dwn,Mu'tal
106,Sdq,Shahih
107,fEl,Shahih
108,Hjr,Shahih
109,Edd,Shahih
110,b$r,Shahih
111,Eml,Shahih
112,jnn,Shahih
113,jry,Mu'tal
114,tHt,Shahih
115,nhr,Shahih
116,$bh,Shahih
117,zwj,Mu'tal
118,Thr,Shahih
119,xld,Shahih
120,Hyy,Mu'tal
121,Drb,Shahih
122,bED,Shahih
123,fwq,Mu'tal
124,Hqq,Shahih
125,rwd,Mu'tal
126,kvr,Shahih
127,fsq,Shahih
128,nqD,Shahih
129,Ehd,Shahih
130,bEd,Shahih
131,wvq,Mu'tal
132,qTE,Shahih
133,Amr,Mu'tal
134,wSl,Mu'tal
135,xsr,Shahih
136,kyf,Mu'tal
137,jmE,Shahih
138,sbE,Shahih
139,xlf,Shahih
140,sfk,Shahih
141,dmw,Mu'tal
142,sbH,Shahih
143,qds,Shahih
144,ErD,Shahih
145,nbA,Mu'tal
146,Hkm,Shahih
147,bdw,Mu'tal
148,ktm,Shahih
149,sjd,Shahih
150,Aby,Mu'tal
151,kbr,Shahih
152,skn,Shahih
153,Akl,Mu'tal
154,rgd,Shahih
155,Hyv,Mu'tal
156,qrb,Shahih
157,$jr,Shahih
158,zll,Shahih
159,hbT,Shahih
160,Edw,Mu'tal
161,qrr,Shahih
162,mtE,Shahih
163,Hyn,Mu'tal
164,klm,Shahih
165,twb,Mu'tal
166,tbE,Shahih
167,xwf,Mu'tal
168,Hzn,Shahih
169,Ayy,Mu'tal
170,SHb,Shahih
171,*kr,Shahih
172,wfy,Mu'tal
173,rhb,Shahih
174,Awl,Mu'tal
175,vmn,Shahih
176,qll,Shahih
177,lbs,Shahih
178,bTl,Shahih
179,zkw,Mu'tal
180,rkE,Shahih
181,brr,Shahih
182,nsy,Mu'tal
183,tlw,Mu'tal
184,Eql,Shahih
185,Sbr,Shahih
186,x$E,Shahih
187,Znn,Shahih
188,fDl,Shahih
189,jzy,Mu'tal
190,$fE,Shahih
191,Ax*,Mu'tal
192,Edl,Shahih
193,nSr,Shahih
194,njw,Mu'tal
195,swm,Mu'tal
196,swA,Mu'tal
197,*bH,Shahih
198,nsw,Mu'tal
199,blw,Mu'tal
200,frq,Shahih
201,bHr,Shahih
202,grq,Shahih
203,nZr,Shahih
204,wEd,Mu'tal
205,rbE,Shahih
206,lyl,Mu'tal
207,Ejl,Shahih
208,Efw,Mu'tal
209,$kr,Shahih
210,brA,Mu'tal
211,qtl,Shahih
212,xyr,Mu'tal
213,End,Shahih
214,rAy,Mu'tal
215,jhr,Shahih
216,bEv,Shahih
217,Zll,Shahih
218,gmm,Shahih
219,mnn,Shahih
220,slw,Mu'tal
221,Tyb,Mu'tal
222,dxl,Shahih
223,qry,Mu'tal
224,bwb,Mu'tal
225,HTT,Shahih
226,gfr,Shahih
227,xTA,Mu'tal
228,Hsn,Shahih
229,bdl,Shahih
230,rjz,Shahih
231,sqy,Mu'tal
232,ESw,Mu'tal
233,fjr,Shahih
234,vny,Mu'tal
235,E$r,Shahih
236,Eyn,Mu'tal
237,Ans,Mu'tal
238,$rb,Shahih
239,Evw,Mu'tal
240,TEm,Shahih
241,wHd,Mu'tal
242,nbt,Shahih
243,bql,Shahih
244,qvA,Mu'tal
245,fwm,Mu'tal
246,Eds,Shahih
247,bSl,Shahih
248,dnw,Mu'tal
249,mSr,Shahih
250,sAl,Mu'tal
251,*ll,Shahih
252,bwA,Mu'tal
253,ESy,Mu'tal
254,hwd,Mu'tal
255,SbA,Mu'tal
256,Ajr,Mu'tal
257,rfE,Shahih
258,Twr,Mu'tal
259,qwy,Mu'tal
260,wly,Mu'tal
261,sbt,Shahih
262,qrd,Shahih
263,xsA,Mu'tal
264,nkl,Shahih
265,byn,Mu'tal
266,ydy,Mu'tal
267,wEZ,Mu'tal
268,bqr,Shahih
269,Ew*,Mu'tal
270,jhl,Shahih
271,frD,Shahih
272,bkr,Shahih
273,lwn,Mu'tal
274,Sfr,Shahih
275,fqE,Shahih
276,srr,Shahih
277,vwr,Mu'tal
278,Hrv,Shahih
279,slm,Shahih
280,w$y,Mu'tal
281,jyA,Mu'tal
282,drA,Mu'tal
283,qsw,Mu'tal
284,$dd,Shahih
285,$qq,Shahih
286,x$y,Mu'tal
287,gfl,Shahih
288,TmE,Shahih
289,Hrf,Shahih
290,Hdv,Shahih
291,ftH,Shahih
292,Hjj,Shahih
293,Eln,Shahih
294,Amm,Mu'tal
295,mny,Mu'tal
296,ksb,Shahih
297,mss,Shahih
298,wld,Mu'tal
299,ytm,Mu'tal
300,dwr,Mu'tal
301,Zhr,Shahih
302,Avm,Mu'tal
303,Asr,Mu'tal
304,fdy,Mu'tal
305,Hrm,Shahih
306,xzy,Mu'tal
307,rdd,Shahih
308,xff,Shahih
309,qfw,Mu'tal
310,rsl,Shahih
311,Ayd,Mu'tal
312,rwH,Mu'tal
313,hwy,Mu'tal
314,glf,Shahih
315,lEn,Shahih
316,Erf,Shahih
317,bAs,Mu'tal
318,bgy,Mu'tal
319,hwn,Mu'tal
320,wry,Mu'tal
321,xlS,Shahih
322,Abd,Mu'tal
323,qdm,Shahih
324,wjd,Mu'tal
325,HrS,Shahih
326,$rk,Shahih
327,wdd,Mu'tal
328,AHd,Mu'tal
329,Emr,Shahih
330,Alf,Mu'tal
331,snw,Mu'tal
332,zHzH,Shahih
333,nb*,Shahih
334,sHr,Shahih
335,ftn,Shahih
336,mrA,Mu'tal
337,Drr,Shahih
338,nfE,Shahih
339,vwb,Mu'tal
340,rEy,Mu'tal
341,Ahl,Mu'tal
342,xSS,Shahih
343,nsx,Shahih
344,sbl,Shahih
345,Hsd,Shahih
346,SfH,Shahih
347,hAt,Mu'tal
348,brhn,Shahih
349,wjh,Mu'tal
350,lys,Mu'tal
351,mnE,Shahih
352,sEy,Mu'tal
353,xrb,Shahih
354,$rq,Shahih
355,grb,Shahih
356,wsE,Mu'tal
357,qnt,Shahih
358,bdE,Shahih
359,qDy,Mu'tal
360,jHm,Shahih
361,rDw,Mu'tal
362,mll,Shahih
363,tmm,Shahih
364,*rr,Shahih
365,nyl,Mu'tal
366,byt,Mu'tal
367,Twf,Mu'tal
368,Ekf,Shahih
369,bld,Shahih
370,Syr,Mu'tal
371,qEd,Shahih
372,nsk,Shahih
373,Ezz,Shahih
374,rgb,Shahih
375,Sfw,Mu'tal
376,wSy,Mu'tal
377,HDr,Shahih
378,Abw,Mu'tal
379,Hnf,Shahih
380,sbT,Shahih
381,kfy,Mu'tal
382,Sbg,Shahih
383,wsT,Mu'tal
384,Eqb,Shahih
385,DyE,Mu'tal
386,rAf,Mu'tal
387,$Tr,Shahih
388,mry,Mu'tal
389,sbq,Shahih
390,jwE,Mu'tal
391,nqS,Shahih
392,mwl,Mu'tal
393,jnH,Shahih
394,TwE,Mu'tal
395,flk,Shahih
396,bvv,Shahih
397,dbb,Shahih
398,Srf,Shahih
399,sHb,Shahih
400,sxr,Shahih
401,Hbb,Shahih
402,sbb,Shahih
403,krr,Shahih
404,Hsr,Shahih
405,Hll,Shahih
406,xTw,Mu'tal
407,fH$,Shahih
408,lfw,Mu'tal
409,nEq,Shahih
410,ndw,Mu'tal
411,lHm,Shahih
412,xnzr,Shahih
413,hll,Shahih
414,bTn,Shahih
415,rqb,Shahih
416,qSS,Shahih
417,Hrr,Shahih
418,Anv,Mu'tal
419,Axw,Mu'tal
420,Ady,Mu'tal
421,lbb,Shahih
422,jnf,Shahih
423,Swm,Mu'tal
424,sfr,Shahih
425,Twq,Mu'tal
426,$hr,Shahih
427,qrA,Mu'tal
428,ysr,Mu'tal
429,Esr,Shahih
430,kml,Shahih
431,jwb,Mu'tal
432,r$d,Shahih
433,rfv,Shahih
434,xwn,Mu'tal
435,xyT,Mu'tal
436,byD,Mu'tal
437,swd,Mu'tal
438,Hdd,Shahih
439,dlw,Mu'tal
440,wqt,Mu'tal
441,vqf,Shahih
442,nhy,Mu'tal
443,hlk,Shahih
444,HSr,Shahih
445,Hlq,Shahih
446,rAs,Mu'tal
447,blg,Shahih
448,A*y,Mu'tal
449,vlv,Shahih
450,jdl,Shahih
451,zwd,Mu'tal
452,fyD,Mu'tal
453,nSb,Shahih
454,srE,Shahih
455,Hsb,Shahih
456,H$r,Shahih
457,Ejb,Shahih
458,ldd,Shahih
459,xSm,Shahih
460,nsl,Shahih
461,mhd,Shahih
462,kff,Shahih
463,zyn,Mu'tal
464,zlzl,Shahih
465,krh,Shahih
466,Esy,Mu'tal
467,$rr,Shahih
468,Sdd,Shahih
469,zyl,Mu'tal
470,HbT,Shahih
471,hjr,Shahih
472,jhd,Shahih
473,rjw,Mu'tal
474,xmr,Shahih
475,fkr,Shahih
476,xlT,Shahih
477,Ent,Shahih
478,nkH,Shahih
479,Amw,Mu'tal
480,HyD,Mu'tal
481,Ezl,Shahih
482,Any,Mu'tal
483,ymn,Mu'tal
484,lgw,Mu'tal
485,Hlm,Shahih
486,Alw,Mu'tal
487,rbS,Shahih
488,fyA,Mu'tal
489,Ezm,Shahih
490,Tlq,Shahih
491,bEl,Shahih
492,rjl,Shahih
493,drj,Shahih
494,mrr,Shahih
495,msk,Shahih
496,srH,Shahih
497,Ajl,Mu'tal
498,EDl,Shahih
499,rDE,Shahih
500,ksw,Mu'tal
501,klf,Shahih
502,wrv,Mu'tal
503,fSl,Shahih
504,$wr,Mu'tal
505,w*r,Mu'tal
506,xbr,Shahih
507,xTb,Shahih
508,knn,Shahih
509,Eqd,Shahih
510,qtr,Shahih
511,nSf,Shahih
512,HfZ,Shahih
513,rkb,Shahih
514,qrD,Shahih
515,DEf,Shahih
516,qbD,Shahih
517,bsT,Shahih
518,mlA,Mu'tal
519,jsm,Shahih
520,bqy,Mu'tal
521,Hml,Shahih
522,jnd,Shahih
523,grf,Shahih
524,jwz,Mu'tal
525,fAy,Mu'tal
526,glb,Shahih
527,brz,Shahih
528,frg,Shahih
529,vbt,Shahih
530,hzm,Shahih
531,dfE,Shahih
532,byE,Mu'tal
533,xll,Shahih
534,wsn,Mu'tal
535,nwm,Mu'tal
536,krs,Shahih
537,Awd,Mu'tal
538,Elw,Mu'tal
539,gwy,Mu'tal
540,Erw,Mu'tal
541,fSm,Shahih
542,$ms,Shahih
543,bht,Shahih
544,xwy,Mu'tal
545,Er$,Shahih
546,mAy,Mu'tal
547,Ewm,Mu'tal
548,lbv,Shahih
549,snh,Shahih
550,Hmr,Shahih
551,n$z,Shahih
552,Tmn,Shahih
553,Tyr,Mu'tal
554,Swr,Mu'tal
555,jbl,Shahih
556,jzA,Mu'tal
557,snbl,Shahih
558,gny,Mu'tal
559,trb,Shahih
560,wbl,Mu'tal
561,Sld,Shahih
562,rbw,Mu'tal
563,Tll,Shahih
564,nxl,Shahih
565,Enb,Shahih
566,ESr,Shahih
567,Hrq,Shahih
568,ymm,Mu'tal
569,xbv,Shahih
570,gmD,Shahih
571,fqr,Shahih
572,xfy,Mu'tal
573,Eff,Shahih
574,lHf,Shahih
575,xbT,Shahih
576,slf,Shahih
577,Ewd,Mu'tal
578,mHq,Shahih
579,Hrb,Shahih
580,bxs,Shahih
581,sAm,Mu'tal
582,Sgr,Shahih
583,qsT,Shahih
584,rhn,Shahih
585,ASr,Mu'tal
586,nqm,Shahih
587,zyg,Mu'tal
588,rsx,Shahih
589,whb,Mu'tal
590,ldn,Shahih
591,dAb,Mu'tal
592,*nb,Shahih
593,Ebr,Shahih
594,$hw,Mu'tal
595,qnTr,Shahih
596,fDD,Shahih
597,xyl,Mu'tal
598,Awb,Mu'tal
599,grr,Shahih
600,fry,Mu'tal
601,nzE,Shahih
602,wlj,Mu'tal
603,Sdr,Shahih
604,Amd,Mu'tal
605,wDE,Mu'tal
606,rjm,Shahih
607,kfl,Shahih
608,glm,Shahih
609,Eqr,Shahih
610,rmz,Shahih
611,E$w,Mu'tal
612,wHy,Mu'tal
613,qlm,Shahih
614,khl,Shahih
615,Tyn,Mu'tal
616,hyA,Mu'tal
617,nfx,Shahih
618,kmh,Shahih
619,brS,Shahih
620,*xr,Shahih
621,Hss,Shahih
622,Hwr,Mu'tal
623,mkr,Shahih
624,bhl,Shahih
625,dnr,Shahih
626,dwm,Mu'tal
627,lwy,Mu'tal
628,lsn,Shahih
629,drs,Shahih
630,brk,Shahih
631,Ewj,Mu'tal
632,ESm,Shahih
633,Hbl,Shahih
634,SbH,Shahih
635,$fw,Mu'tal
636,Hfr,Shahih
637,nq*,Shahih
638,nkr,Shahih
639,*wq,Mu'tal
640,dbr,Shahih
641,Srr,Shahih
642,xbl,Shahih
643,bgD,Shahih
644,fwh,Mu'tal
645,EDD,Shahih
646,nml,Shahih
647,gyZ,Mu'tal
648,frH,Shahih
649,kyd,Mu'tal
650,gdw,Mu'tal
651,hmm,Shahih
652,f$l,Shahih
653,wkl,Mu'tal
654,fwr,Mu'tal
655,xms,Shahih
656,Trf,Shahih
657,kbt,Shahih
658,xyb,Mu'tal
659,kZm,Shahih
660,snn,Shahih
661,syr,Mu'tal
662,whn,Mu'tal
663,qrH,Shahih
664,dwl,Mu'tal
665,mHS,Shahih
666,kyn,Mu'tal
667,srf,Shahih
668,rEb,Shahih
669,slT,Shahih
670,Awy,Mu'tal
671,vwy,Mu'tal
672,SEd,Shahih
673,fwt,Mu'tal
674,nEs,Shahih
675,DjE,Shahih
676,gzw,Mu'tal
677,lyn,Mu'tal
678,fZZ,Shahih
679,glZ,Shahih
680,x*l,Shahih
681,gll,Shahih
682,sxT,Shahih
683,lHq,Shahih
684,HZZ,Shahih
685,mlw,Mu'tal
686,myz,Mu'tal
687,TlE,Shahih
688,jby,Mu'tal
689,bxl,Shahih
690,zbr,Shahih
691,fwz,Mu'tal
692,jnb,Shahih
693,rbT,Shahih
694,Hwb,Mu'tal
695,Ewl,Mu'tal
696,nHl,Shahih
697,hnA,Mu'tal
698,bdr,Shahih
699,qsm,Shahih
700,sdd,Shahih
701,Sly,Mu'tal
702,sEr,Shahih
703,sds,Shahih
704,dry,Mu'tal
705,Etd,Shahih
706,fDw,Mu'tal
707,mqt,Shahih
708,Emm,Shahih
709,xwl,Mu'tal
710,Slb,Shahih
711,HSn,Shahih
712,sfH,Shahih
713,Twl,Mu'tal
714,fty,Mu'tal
715,xdn,Shahih
716,myl,Mu'tal
717,krm,Shahih
718,wfq,Mu'tal
719,jwr,Mu'tal
720,fxr,Shahih
721,qrn,Shahih
722,vql,Shahih
723,skr,Shahih
724,gsl,Shahih
725,gwT,Mu'tal
726,lms,Shahih
727,msH,Shahih
728,TEn,Shahih
729,Tms,Shahih
730,ftl,Shahih
731,jbt,Shahih
732,nqr,Shahih
733,nDj,Shahih
734,jld,Shahih
735,zEm,Shahih
736,Hlf,Shahih
737,Hrj,Shahih
738,rfq,Shahih
739,nfr,Shahih
740,vby,Mu'tal
741,bTA,Mu'tal
742,drk,Shahih
743,brj,Shahih
744,$yd,Mu'tal
745,fqh,Shahih
746,*yE,Mu'tal
747,nbT,Shahih
748,HrD,Shahih
749,qwt,Mu'tal
750,rks,Shahih
751,wdy,Mu'tal
752,Emd,Shahih
753,gnm,Shahih
754,rgm,Shahih
755,wqE,Mu'tal
756,qSr,Shahih
757,slH,Shahih
758,mTr,Shahih
759,rmy,Mu'tal
760,mrd,Shahih
761,btk,Shahih
762,HyS,Mu'tal
763,$HH,Shahih
764,Elq,Shahih
765,xwD,Mu'tal
766,Hw*,Mu'tal
767,ksl,Shahih
768,*b*b,Shahih
769,sfl,Shahih
770,TbE,Shahih
771,$kk,Shahih
772,Trq,Shahih
773,glw,Mu'tal
774,nkf,Shahih
775,bhm,Shahih
776,Syd,Mu'tal
777,qld,Shahih
778,jrm,Shahih
779,$nA,Mu'tal
780,xnq,Shahih
781,wq*,Mu'tal
782,rdy,Mu'tal
783,nTH,Shahih
784,*kw,Mu'tal
785,zlm,Shahih
786,yAs,Mu'tal
787,xmS,Shahih
788,jrH,Shahih
789,klb,Shahih
790,kEb,Shahih
791,nqb,Shahih
792,Ezr,Shahih
793,grw,Mu'tal
794,SnE,Shahih
795,ftr,Shahih
796,jbr,Shahih
797,tyh,Mu'tal
798,Asw,Mu'tal
799,bHv,Shahih
800,Ejz,Shahih
801,ndm,Shahih
802,nfy,Mu'tal
803,wsl,Mu'tal
804,srq,Shahih
805,sHt,Shahih
806,Hbr,Shahih
807,Anf,Mu'tal
808,Avr,Mu'tal
809,hmn,Shahih
810,$rE,Shahih
811,nhj,Shahih
812,lwm,Mu'tal
813,Hzb,Shahih
814,lEb,Shahih
815,TfA,Mu'tal
816,qSd,Shahih
817,Afk,Mu'tal
818,qss,Shahih
819,dmE,Shahih
820,rjs,Shahih
821,rmH,Shahih
822,syb,Mu'tal
823,Hmy,Mu'tal
824,Hbs,Shahih
825,Evr,Shahih
826,myd,Mu'tal
827,mkn,Shahih
828,drr,Shahih
829,n$A,Mu'tal
830,qrTs,Shahih
831,Hyq,Mu'tal
832,fTr,Shahih
833,k$f,Shahih
834,qhr,Shahih
835,wqr,Mu'tal
836,sTr,Shahih
837,nAy,Mu'tal
838,wqf,Mu'tal
839,swE,Mu'tal
840,bgt,Shahih
841,frT,Shahih
842,wzr,Mu'tal
843,lhw,Mu'tal
844,jHd,Shahih
845,DrE,Shahih
846,bls,Shahih
847,Sdf,Shahih
